商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
アンチュンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000108,安中散,体力中等度以下で、腹部は力がなくて、胃痛又は腹痛があって、ときに胸やけや、げっぷ、胃もたれ、食欲不振、吐き気、嘔吐などを伴うものの次の諸症：,神経性胃炎、慢性胃炎、胃腸虚弱,"本剤は、漢方の古典「和剤局方」（宋代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　アンチュンNは、胃腸を温めて痛みをとる漢方の胃腸薬で、神経の使いすぎから胃の調子をくずす方に効果があります。また慢性的な胃の鈍痛や、胸やけ、食欲不振に悩んでおられる方にも用いられます。",水製エキス(0.9g),ケイヒ(2.4g)、エンゴサク(1.8g)、ボレイ(1.8g)、ウイキョウ(0.9g)、カンゾウ(0.6g)、シュクシャ(0.6g)、リョウキョウ(0.3g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、ステアリン酸マグネシウム、トウモロコシデンプン、メタケイ酸アルミン酸マグネシウム、アメ粉,6錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）及び7歳以上：2錠：3回
7歳未満5歳以上：1錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ウンセインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000268,温清飲,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせるものの次の諸症：,湿疹・皮膚炎、月経不順、月経困難、血の道症、更年期障害、神経症,"本剤は、漢方の古典「万病回春」（明代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ウンセインNは、皮膚の色つやが悪く、のぼせを伴う方のイライラなどの精神不安や更年期障害に、また皮膚がカサカサする湿疹、皮膚炎など、さらに月経不順、月経困難などの婦人病にも用いられます。",温清飲エキス散(4.08g),ジオウ(2g)、トウキ(2g)、オウゴン(1.5g)、シャクヤク(1.5g)、センキュウ(1.5g)、サンシシ(1g)、オウバク(0.75g)、オウレン(0.75g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
オウゲインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000024,黄連解毒湯,体力中等度以上で、のぼせ気味で顔色赤く、いらいらして落ち着かない傾向のあるものの次の諸症：,鼻出血、不眠症、神経症、胃炎、二日酔、血の道症、めまい、動悸、更年期障害、湿疹・皮膚炎、皮膚のかゆみ、口内炎,"本剤は、漢方の古典「外台秘要」（唐代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　オウゲインNは、顔がのぼせたり、熱っぽい（漢方でいう実熱）といった方に用いられ、イライラする、怒りっぽい、頭がさえて眠れないといった症状に効果があります。また、二日酔や急性胃炎のように一時的に漢方でいう「熱」の症状がおこる場合にも適しています。",黄連解毒湯エキス散(1.62g),オウゴン(2.25g)、サンシシ(1.5g)、オウバク(1.125g)、オウレン(1.125g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位（鼻出血、二日酔に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
オツジンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000122,乙字湯,体力中等度以上で、大便がかたく、便秘傾向のあるものの次の諸症：,痔核（いぼ痔）、きれ痔、便秘、軽度の脱肛,"本剤は、徳川時代の漢方医原南陽の創方による処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　酒・香辛料など刺激性の飲食物、冷え、過労などは、肛門・直腸下部の静脈をうっ血させ、痔の発生と悪化の原因となりますが、とくに注意しなければならないのが便秘です。
　オツジンNは、便通を整えるほか、局所の血液循環をよくし、出血と疼痛をおさえるなど、内服によって痔の原因をとり除く漢方薬です。",乙字湯エキス散(2.7g),トウキ(3g)、サイコ(2.5g)、オウゴン(1.5g)、カンゾウ(1g)、ショウマ(0.75g)、ダイオウ(0.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、はげしい腹痛を伴う下痢、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位（きれ痔、便秘に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
カッコーサンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000109,藿香正気散,体力中等度以下のものの次の諸症：,感冒、暑さによる食欲不振、下痢、全身倦怠、急性胃腸炎,"本剤は、漢方の古典「和剤局方」（宋代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　カッコーサンNは、とくに夏季に寝冷えをしたとか、冷房・扇風機にあたり過ぎて頭痛、発熱してかぜをひいた場合とか、胃腸の調子がくるって食欲を失い、お腹が痛い、下痢をするといった場合に使われる漢方薬で、「湿邪」の障害を取り除く働きがあります。
　また冷たいもの、なま物の飲食が過ぎてむかむかする、食欲がない、全身が重だるい、下痢をするといった場合にも用いられます。",エキス散(2.64g),ハンゲ(1.5g)、ビャクジュツ(1.5g)、ブクリョウ(1.5g)、コウボク(1g)、チンピ(1g)、キキョウ(0.75g)、ビャクシ(0.75g)、カッコウ(0.5g)、カンゾウ(0.5g)、ショウキョウ(0.5g)、ソヨウ(0.5g)、タイソウ(0.5g)、ダイフクヒ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位（急性胃腸炎、下痢に服用する場合には5～6回、感冒に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
カッコーンV「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000474,葛根湯,,感冒、鼻かぜ、頭痛、肩こり、筋肉痛、手や肩の痛み,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　カッコーンVは、鼻かぜまたはかぜに用いられる漢方薬で、鼻がツンツンしてかぜをひいたかなと思った時、またある程度体力のある方がゾクゾクと寒けをおぼえたり、頭痛がしたり、熱は出ているが汗は出ていない、といった時期に用いられます。そのほか熱がなくても、肩こりや筋肉痛などのある時にも用います。",葛根湯エキス(2.2g),カッコン(4g)、タイソウ(2g)、マオウ(2g)、ケイヒ(1.5g)、シャクヤク(1.5g)、カンゾウ(1g)、ショウキョウ(0.5g),酸化チタン、ステアリン酸マグネシウム、タルク、乳糖水和物、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、アメ粉、メタケイ酸アルミン酸マグネシウム、カラメル、カルナウバロウ,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（感冒の初期、鼻かぜ、頭痛に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
カミセーヌCN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1801000170,加味逍遙散加川芎地黄,体力中等度以下で、皮膚があれてかさかさし、ときに色つやが悪く、胃腸障害はなく、肩がこり、疲れやすく精神不安やいらだちなどの精神神経症状、ときにかゆみ、便秘の傾向のあるものの次の諸症：,湿疹・皮膚炎、しみ、冷え症、虚弱体質、月経不順、月経困難、更年期障害、血の道症,"本剤は、漢方の古典「和剤局方」（宋代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ひと昔前までは「お肌の曲がり角」などという言葉もよく使われたものですが、顔などにこまかいシミなどがあらわれて、それが悩みの種となっている方が少なくありません。またシミだけでなく、湿疹が慢性化して乾燥した状態の場合もあるようです。
　これらは、ホルモンバランスの乱れ、あるいは自律神経の失調状態が絡んでいる場合が多く、そのために、生理の不調や肩こり、精神的にイライラしやすいなどの症状を伴うこともあります。
　カミセーヌCNは、シミに効果を発揮するばかりでなく、女性特有の症状や不定愁訴の改善にも役立つ漢方薬です。",エキス散(3.6g),サイコ(1.5g)、ジオウ(1.5g)、シャクヤク(1.5g)、センキュウ(1.5g)、トウキ(1.5g)、ビャクジュツ(1.5g)、ブクリョウ(1.5g)、サンシシ(1g)、ボタンピ(1g)、カンゾウ(0.75g)、ショウキョウ(0.5g)、ハッカ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、胃部不快感、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
カミセーヌN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000325,加味逍遙散,体力中等度以下で、のぼせ感があり、肩がこり、疲れやすく、精神不安やいらだちなどの精神神経症状、ときに便秘の傾向のあるものの次の諸症：,更年期障害、月経不順、月経困難、血の道症、不眠症、冷え症、虚弱体質,"本剤は、漢方の古典「内科摘要」、「女科撮要」（いずれも明代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　カミセーヌNは、イライラなどを起こしたり、時には冷えたり、あるいは肩がこったり、便秘したりという、多彩でしかも症状が一定しない、女性に多いいわゆる不定愁訴に効果がある漢方薬です。",加味逍遙散エキス散(3g),サイコ(1.5g)、シャクヤク(1.5g)、トウキ(1.5g)、ビャクジュツ(1.5g)、ブクリョウ(1.5g)、カンゾウ(1g)、サンシシ(1g)、ボタンピ(1g)、ショウキョウ(0.5g)、ハッカ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、結晶セルロース、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）高齢者。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
キュウキインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1801000227,芎帰調血飲第一加減,体力中等度以下のものの次の諸症。ただし産後の場合は体力に関わらず使用できる。：,血の道症、月経不順、産後の体力低下,"本剤は、一貫堂・森道伯の創方による処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　出産後や生理の際などで、体調が十分でなく、貧血気味で、手足に冷えを感じたり、気がふさいで頭痛、めまいがし、食欲もふるわないといった訴えのある場合があります。
　これらは自律神経や内分泌のバランスとも関係があるとされていますが、キュウキインNは気のめぐりをよくし、血行を改善することによって、産後や更年期などの体調を改善する漢方薬です。",エキス散(4.32g),ウヤク(1.25g)、コウブシ(1.25g)、センキュウ(1.25g)、チンピ(1.25g)、トウキ(1.25g)、ビャクジュツ(1.25g)、ブクリョウ(1.25g)、ボタンピ(1.25g)、エンゴサク(0.75g)、キジツ(0.75g)、ケイヒ(0.75g)、コウカ(0.75g)、ゴシツ(0.75g)、ジオウ(0.75g)、シャクヤク(0.75g)、トウニン(0.75g)、モッコウ(0.75g)、カンキョウ(0.5g)、カンゾウ(0.5g)、タイソウ(0.5g)、ヤクモソウ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,15錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：5錠：3回
15歳未満7歳以上：4錠：3回
7歳未満5歳以上：3錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ケイガインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000429,荊芥連翹湯,体力中等度以上で、皮膚の色が浅黒く、ときに手足の裏に脂汗をかきやすく腹壁が緊張しているものの次の諸症：,慢性鼻炎、蓄膿症（副鼻腔炎）、慢性扁桃炎、にきび,"本剤は、一貫堂・森道伯の創方による処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　蓄膿症やアレルギーによる鼻炎などがなかなか治らず、治療に通ったり、あきらめたりといった具合で、「鼻」に悩んでおられる方が近年大変増えています。
　漢方では、過敏な体質またはアレルギー体質で、粘膜・皮膚が外界の刺激に反応しやすく、炎症反応を起こしやすい体質を解毒証体質と呼んでいますが、このような方は鼻症状を起こしやすく、また扁桃をしょっちゅう腫らしたり、ニキビがなかなか治らなかったりします。
　ケイガインNは、これらの症状を治していく漢方薬でありますが、同時に水分や脂肪分の摂取を控えるなど、食生活や生活習慣の改善を心がけることも大切です。",エキス散(3.5g),オウゴン(0.75g)、オウバク(0.75g)、オウレン(0.75g)、キキョウ(0.75g)、キジツ(0.75g)、ケイガイ(0.75g)、サイコ(0.75g)、サンシシ(0.75g)、ジオウ(0.75g)、シャクヤク(0.75g)、センキュウ(0.75g)、トウキ(0.75g)、ハッカ(0.75g)、ビャクシ(0.75g)、ボウフウ(0.75g)、レンギョウ(0.75g)、カンゾウ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
